name,team,league,role,startYear,endYear,startAge,endAge,Championship1,Championship2,Championship3,Championship4,Championship4
Quin Snyder,ATL,NBA,HC,2023,2025,56,58,2024,,,,
Quin Snyder,UTA,NBA,HC,2014,2022,47,55,,,,,
Quin Snyder,ATL,NBA,AC,2013,2014,46,47,,,,,
Quin Snyder,LAL,NBA,AC,2011,2012,44,45,,,,,
Quin Snyder,PHI,NBA,AC,2010,2011,43,44,,,,,
Quin Snyder,,G,HC,2007,2010,40,43,,,,,
Quin Snyder,,NCAA,HC,1999,2006,32,39,,,,,
Quin Snyder,,NCAA,AC,1995,1999,28,32,,,,,
Quin Snyder,LAC,NBA,AC,1992,1993,25,26,,,,,
Quin Snyder,,NCAA,Player,1985,1989,19,23,,,,,
Joe Mazzulla,BOS,NBA,HC,2022,2025,34,36,,,,,
Joe Mazzulla,,NCAA,AC,2011,2016,23,26,,,,,
Joe Mazzulla,,G League,AC,2016,2017,26,27,,,,,
Joe Mazzulla,,NCAA,HC,2017,2019,27,29,,,,,
Joe Mazzulla,BOS,NBA,AC,2019,2022,29,32,,,,,
Joe Mazzulla,,NCAA,Player,2006,2011,18,23,,,,,
Jordi Fernandez,BRK,NBA,HC,2024,2025,42,43,,,,,
Jordi Fernandez,CLE,NBA,AC,2009,2013,29,33,,,,,
Jordi Fernandez,,G League,AC,2013,2016,33,36,,,,,
Jordi Fernandez,DEN,NBA,AC,2016,2022,36,42,,,,,
Jordi Fernandez,SAC,NBA,AC,2022,2024,42,44,,,,,
Billy Donovan,CHI,NBA,HC,2020,2025,54,59,,,,,
Billy Donovan,OKC,NBA,HC,2015,2020,49,54,,,,,
Billy Donovan,,NCAA,HC,1994,2015,38,49,,,,,
Billy Donovan,,NCAA,AC,1989,1994,33,38,,,,,
Billy Donovan,NYK,NBA,Player,1987,1988,32,33,,,,,
Charles Lee,CHO,NBA,HC,2024,2025,39,40,,,,,
Charles Lee,BOS,NBA,AC,2023,2024,38,39,,,,,
Charles Lee,MIL,NBA,AC,2018,2023,33,38,,,,,
Charles Lee,ATL,NBA,AC,2014,2018,29,33,,,,,
Charles Lee,,NCAA,AC,2012,2014,27,29,,,,,
Charles Lee,,Overseas League,Player,2006,2012,21,27,,,,,
Kenny Atkinson,CLE,NBA,HC,2024,2025,56,57,,,,,
Kenny Atkinson,GSW,NBA,AC,2021,2024,53,56,,,,,
Kenny Atkinson,LAC,NBA,AC,2020,2021,52,53,,,,,
Kenny Atkinson,BRK,NBA,HC,2016,2020,48,52,,,,,
Kenny Atkinson,ATL,NBA,AC,2012,2016,44,48,,,,,
Kenny Atkinson,NYK,NBA,AC,2008,2012,40,44,,,,,
Kenny Atkinson,,Overseas League,AC,2004,2006,34,38,,,,,
Kenny Atkinson,,Overseas League,Player,1991,2004,22,34,,,,,
Jason Kidd,DAL,NBA,HC,2021,2025,46,51,,,,,
Jason Kidd,LAL,NBA,AC,2019,2021,44,46,,,,,
Jason Kidd,MIL,NBA,HC,2014,2018,39,43,,,,,
Jason Kidd,BRK,NBA,HC,2013,2014,38,39,,,,,
Jason Kidd,,NBA,Player,1994,2013,18,38,,,,,
Jason Kidd,,NCAA,Player,1993,1994,18,19,,,,,
Michael Malone,DEN,NBA,HC,2015,2025,43,53,2023,,,,
Michael Malone,SAC,NBA,HC,2013,2014,42,42,,,,,
Michael Malone,GSW,NBA,AC,2011,2013,41,42,,,,,
Michael Malone,NOP,NBA,AC,2010,2011,40,41,,,,,
Michael Malone,CLE,NBA,AC,2005,2010,35,40,,,,,
Michael Malone,NYK,NBA,AC,2001,2005,31,35,,,,,
Michael Malone,,NCAA,AC,1994,2001,24,31,,,,,
Michael Malone,,NCAA,Player,1989,1993,19,23,,,,,
J.B. Bickerstaff,DET,NBA,HC,2024,2025,45,46,,,,,
J.B. Bickerstaff,CLE,NBA,HC,2020,2024,42,46,,,,,
J.B. Bickerstaff,CLE,NBA,AC,2019,2020,41,42,,,,,
J.B. Bickerstaff,MEM,NBA,HC,2017,2019,39,41,,,,,
J.B. Bickerstaff,MEM,NBA,AC,2016,2017,38,39,,,,,
J.B. Bickerstaff,HOU,NBA,HC,2015,2016,37,38,,,,,
J.B. Bickerstaff,HOU,NBA,AC,2011,2015,33,37,,,,,
J.B. Bickerstaff,MIN,NBA,AC,2007,2011,29,33,,,,,
J.B. Bickerstaff,CHO,NBA,AC,2004,2007,26,29,,,,,
J.B. Bickerstaff,,NCAA,Player,1997,2001,19,23,,,,,
Steve Kerr,GSW,NBA,HC,2014,2025,48,59,2015,2017,2018,2022,
Steve Kerr,,NBA,Player,1988,2003,28,47,,,,,
Steve Kerr,,NCAA,Player,1983,1988,23,28,,,,,
Ime Udoka,HOU,NBA,HC,2023,2025,46,48,,,,,
Ime Udoka,BOS,NBA,HC,2021,2023,44,46,,,,,
Ime Udoka,BRK,NBA,AC,2020,2021,43,44,,,,,
Ime Udoka,PHI,NBA,AC,2019,2020,42,43,,,,,
Ime Udoka,SAS,NBA,AC,2012,2019,35,42,,,,,
Ime Udoka,,NBA,Player,2006,2012,29,35,,,,,
Ime Udoka,,G League,Player,2002,2006,25,29,,,,,
Ime Udoka,,Overseas League,Player,2000,2001,23,24,,,,,
Rick Carlisle,IND,NBA,HC,2021,2025,61,65,,,,,
Rick Carlisle,DAL,NBA,HC,2008,2021,48,61,,,,,
Rick Carlisle,IND,NBA,HC,2003,2007,43,47,,,,,
Rick Carlisle,DET,NBA,HC,2001,2003,41,43,,,,,
Rick Carlisle,IND,NBA,AC,1997,2000,37,40,,,,,
Rick Carlisle,POR,NBA,AC,1994,1997,34,37,,,,,
Rick Carlisle,NJN,NBA,AC,1989,1994,29,34,,,,,
Rick Carlisle,,NBA,Player,1984,1989,24,29,,,,,
Rick Carlisle,,NCAA,Player,1979,1984,19,24,,,,,
Tyronn Lue,LAC,NBA,HC,2020,2025,42,47,,,,,
Tyronn Lue,LAC,NBA,AC,2019,2020,41,42,,,,,
Tyronn Lue,CLE,NBA,HC,2016,2018,38,40,2016,,,,
Tyronn Lue,CLE,NBA,AC,2014,2016,36,38,,,,,
Tyronn Lue,LAC,NBA,AC,2013,2014,35,36,,,,,
Tyronn Lue,BOS,NBA,AC,2011,2013,33,35,,,,,
Tyronn Lue,,NBA,Player,1998,2009,20,31,,,,,
Tyronn Lue,,NCAA,Player,1995,1998,17,20,,,,,
JJ Redick,LAL,NBA,HC,2024,2025,39,40,,,,,
JJ Redick,,NBA,Player,2006,2021,21,36,,,,,
JJ Redick,,NCAA,Player,2002,2006,17,21,,,,,
Taylor Jenkins,MEM,NBA,HC,2019,2025,34,40,,,,,
Taylor Jenkins,MIL,NBA,AC,2018,2019,33,34,,,,,
Taylor Jenkins,ATL,NBA,AC,2013,2018,28,33,,,,,
Taylor Jenkins,,G League,HC,2012,2013,27,28,,,,,
Taylor Jenkins,,G League,AC,2008,2012,23,27,,,,,
Erik Spoelstra,MIA,NBA,HC,2008,2025,37,54,2012,2013,,,
Erik Spoelstra,MIA,NBA,AC,1997,2008,26,37,,,,,
Erik Spoelstra,,Overseas League,AC,1993,1995,23,24,,,,,
